"class","注音_class","去聲調_class"
"通訊導論","ㄊㄨㄥㄒㄩㄣˋㄉㄠˇㄌㄨㄣˋ","ㄊㄨㄥㄒㄩㄣㄉㄠㄌㄨㄣ"
"進階電子電路","ㄐㄧㄣˋㄐㄧㄝㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋ","ㄐㄧㄣㄐㄧㄝㄉㄧㄢㄗㄉㄧㄢㄌㄨ"
"計算機結構","ㄐㄧˋㄙㄨㄢˋㄐㄧㄐㄧㄝˊㄍㄡˋ","ㄐㄧㄙㄨㄢㄐㄧㄐㄧㄝㄍㄡ"
"視窗程式設計","ㄕˋㄔㄨㄤㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄕㄔㄨㄤㄔㄥㄕㄕㄜㄐㄧ"
"資料庫程式設計","ㄗㄌㄧㄠˋㄎㄨˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄗㄌㄧㄠㄎㄨㄔㄥㄕㄕㄜㄐㄧ"
"網路原理與技術","ㄨㄤˇㄌㄨˋㄩㄢˊㄌㄧˇㄩˇㄐㄧˋㄕㄨˋ","ㄨㄤㄌㄨㄩㄢㄌㄧㄩㄐㄧㄕㄨ"
"網路程式設計","ㄨㄤˇㄌㄨˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄨㄤㄌㄨㄔㄥㄕㄕㄜㄐㄧ"
"數位訊號處理","ㄕㄨˋㄨㄟˋㄒㄩㄣˋㄏㄠˋㄔㄨˇㄌㄧˇ","ㄕㄨㄨㄟㄒㄩㄣㄏㄠㄔㄨㄌㄧ"
"基礎天線理論","ㄐㄧㄔㄨˇㄊㄧㄢㄒㄧㄢˋㄌㄧˇㄌㄨㄣˋ","ㄐㄧㄔㄨㄊㄧㄢㄒㄧㄢㄌㄧㄌㄨㄣ"
"數位通訊","ㄕㄨˋㄨㄟˋㄊㄨㄥㄒㄩㄣˋ","ㄕㄨㄨㄟㄊㄨㄥㄒㄩㄣ"
"進階微處理系統","ㄐㄧㄣˋㄐㄧㄝㄨㄟˊㄔㄨˇㄌㄧˇㄒㄧˋㄊㄨㄥˇ","ㄐㄧㄣㄐㄧㄝㄨㄟㄔㄨㄌㄧㄒㄧㄊㄨㄥ"
"機器人控制","ㄐㄧㄑㄧˋㄖㄣˊㄎㄨㄥˋㄓˋ","ㄐㄧㄑㄧㄖㄣㄎㄨㄥㄓ"
"APP程式設計","APPㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","APPㄔㄥㄕㄕㄜㄐㄧ"
"機器學習導論","ㄐㄧㄑㄧˋㄒㄩㄝˊㄒㄧˊㄉㄠˇㄌㄨㄣˋ","ㄐㄧㄑㄧㄒㄩㄝㄒㄧㄉㄠㄌㄨㄣ"
"網際網路應用","ㄨㄤˇㄐㄧˋㄨㄤˇㄌㄨˋㄧㄥㄩㄥˋ","ㄨㄤㄐㄧㄨㄤㄌㄨㄧㄥㄩㄥ"
"通訊元件設計","ㄊㄨㄥㄒㄩㄣˋㄩㄢˊㄐㄧㄢˋㄕㄜˋㄐㄧˋ","ㄊㄨㄥㄒㄩㄣㄩㄢㄐㄧㄢㄕㄜㄐㄧ"
"資訊科技專題","ㄗㄒㄩㄣˋㄎㄜㄐㄧˋㄓㄨㄢㄊㄧˊ","ㄗㄒㄩㄣㄎㄜㄐㄧㄓㄨㄢㄊㄧ"
"網路分析","ㄨㄤˇㄌㄨˋㄈㄣㄒㄧ","ㄨㄤㄌㄨㄈㄣㄒㄧ"
"網路安全","ㄨㄤˇㄌㄨˋㄢㄑㄩㄢˊ","ㄨㄤㄌㄨㄢㄑㄩㄢ"
"作業系統實務","ㄗㄨㄛˋㄧㄝˋㄒㄧˋㄊㄨㄥˇㄕˊㄨˋ","ㄗㄨㄛㄧㄝㄒㄧㄊㄨㄥㄕㄨ"
"工程數學","ㄍㄨㄥㄔㄥˊㄕㄨˋㄒㄩㄝˊ","ㄍㄨㄥㄔㄥㄕㄨㄒㄩㄝ"
"機率與統計","ㄐㄧㄌㄩˋㄩˇㄊㄨㄥˇㄐㄧˋ","ㄐㄧㄌㄩㄩㄊㄨㄥㄐㄧ"
"微波工程","ㄨㄟㄅㄛㄍㄨㄥㄔㄥˊ","ㄨㄟㄅㄛㄍㄨㄥㄔㄥ"
"通訊原理","ㄊㄨㄥㄒㄩㄣˋㄩㄢˊㄌㄧˇ","ㄊㄨㄥㄒㄩㄣㄩㄢㄌㄧ"
"網路規劃","ㄨㄤˇㄌㄨˋㄍㄨㄟㄏㄨㄚˊ","ㄨㄤㄌㄨㄍㄨㄟㄏㄨㄚ"
"廣域網路","ㄍㄨㄤˇㄩˋㄨㄤˇㄌㄨˋ","ㄍㄨㄤㄩㄨㄤㄌㄨ"
"電腦視覺","ㄉㄧㄢˋㄋㄠˇㄕˋㄐㄩㄝˊ","ㄉㄧㄢㄋㄠㄕㄐㄩㄝ"
"資訊安全導論","ㄗㄒㄩㄣˋㄢㄑㄩㄢˊㄉㄠˇㄌㄨㄣˋ","ㄗㄒㄩㄣㄢㄑㄩㄢㄉㄠㄌㄨㄣ"
"視訊處理","ㄕˋㄒㄩㄣˋㄔㄨˇㄌㄧˇ","ㄕㄒㄩㄣㄔㄨㄌㄧ"
"通訊技術專題","ㄊㄨㄥㄒㄩㄣˋㄐㄧˋㄕㄨˋㄓㄨㄢㄊㄧˊ","ㄊㄨㄥㄒㄩㄣㄐㄧㄕㄨㄓㄨㄢㄊㄧ"
"高速網路","ㄍㄠㄙㄨˋㄨㄤˇㄌㄨˋ","ㄍㄠㄙㄨㄨㄤㄌㄨ"
"作業系統","ㄗㄨㄛˋㄧㄝˋㄒㄧˋㄊㄨㄥˇ","ㄗㄨㄛㄧㄝㄒㄧㄊㄨㄥ"
"微處理機系統","ㄨㄟˊㄔㄨˇㄌㄧˇㄐㄧㄒㄧˋㄊㄨㄥˇ","ㄨㄟㄔㄨㄌㄧㄐㄧㄒㄧㄊㄨㄥ"
"行動裝置程式設計","ㄒㄧㄥˊㄉㄨㄥˋㄓㄨㄤㄓˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄒㄧㄥㄉㄨㄥㄓㄨㄤㄓㄔㄥㄕㄕㄜㄐㄧ"
"電腦與通訊工程講座","ㄉㄧㄢˋㄋㄠˇㄩˇㄊㄨㄥㄒㄩㄣˋㄍㄨㄥㄔㄥˊㄐㄧㄤˇㄗㄨㄛˋ","ㄉㄧㄢㄋㄠㄩㄊㄨㄥㄒㄩㄣㄍㄨㄥㄔㄥㄐㄧㄤㄗㄨㄛ"
"數位系統","ㄕㄨˋㄨㄟˋㄒㄧˋㄊㄨㄥˇ","ㄕㄨㄨㄟㄒㄧㄊㄨㄥ"
"數位系統實驗","ㄕㄨˋㄨㄟˋㄒㄧˋㄊㄨㄥˇㄕˊㄧㄢˋ","ㄕㄨㄨㄟㄒㄧㄊㄨㄥㄕㄧㄢ"
"電子電路","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨ"
"電子電路實驗","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕˊㄧㄢˋ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄧㄢ"
"JAVA程式設計","JAVAㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","JAVAㄔㄥㄕㄕㄜㄐㄧ"
"TCP／IP網路原理與技術","TCP／IPㄨㄤˇㄌㄨˋㄩㄢˊㄌㄧˇㄩˇㄐㄧˋㄕㄨˋ","TCP／IPㄨㄤㄌㄨㄩㄢㄌㄧㄩㄐㄧㄕㄨ"
"多媒體導論","ㄉㄨㄛㄇㄟˊㄊㄧˇㄉㄠˇㄌㄨㄣˋ","ㄉㄨㄛㄇㄟㄊㄧㄉㄠㄌㄨㄣ"
"XML程式設計","XMLㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","XMLㄔㄥㄕㄕㄜㄐㄧ"
"資訊科技應用","ㄗㄒㄩㄣˋㄎㄜㄐㄧˋㄧㄥㄩㄥˋ","ㄗㄒㄩㄣㄎㄜㄐㄧㄧㄥㄩㄥ"
"網路入侵偵測","ㄨㄤˇㄌㄨˋㄖㄨˋㄑㄧㄣㄓㄣㄘㄜˋ","ㄨㄤㄌㄨㄖㄨㄑㄧㄣㄓㄣㄘㄜ"
"機器學習","ㄐㄧㄑㄧˋㄒㄩㄝˊㄒㄧˊ","ㄐㄧㄑㄧㄒㄩㄝㄒㄧ"
"互動媒體設計","ㄏㄨˋㄉㄨㄥˋㄇㄟˊㄊㄧˇㄕㄜˋㄐㄧˋ","ㄏㄨㄉㄨㄥㄇㄟㄊㄧㄕㄜㄐㄧ"
"邊緣運算實務","ㄅㄧㄢㄩㄢˊㄩㄣˋㄙㄨㄢˋㄕˊㄨˋ","ㄅㄧㄢㄩㄢㄩㄣㄙㄨㄢㄕㄨ"
"Linux系統應用實務","Linuxㄒㄧˋㄊㄨㄥˇㄧㄥˋㄩㄥˋㄕˊㄨˋ","Linuxㄒㄧㄊㄨㄥㄧㄥㄩㄥㄕㄨ"
"Weka實務資料分析","Wekaㄕˊㄨˋㄗㄌㄧㄠˋㄈㄣㄒㄧ","Wekaㄕㄨㄗㄌㄧㄠㄈㄣㄒㄧ"
"深度學習與應用","ㄕㄣㄉㄨˋㄒㄩㄝˊㄒㄧˊㄩˇㄧㄥㄩㄥˋ","ㄕㄣㄉㄨㄒㄩㄝㄒㄧㄩㄧㄥㄩㄥ"
"進階CPP程式設計","ㄐㄧㄣˋㄐㄧㄝCPPㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄐㄧㄣㄐㄧㄝCPPㄔㄥㄕㄕㄜㄐㄧ"
"資訊倫理","ㄗㄒㄩㄣˋㄌㄨㄣˊㄌㄧˇ","ㄗㄒㄩㄣㄌㄨㄣㄌㄧ"
"類神經與深度學習導論","ㄌㄟˋㄕㄣˊㄐㄧㄥㄩˇㄕㄣㄉㄨˋㄒㄩㄝˊㄒㄧˊㄉㄠˇㄌㄨㄣˋ","ㄌㄟㄕㄣㄐㄧㄥㄩㄕㄣㄉㄨㄒㄩㄝㄒㄧㄉㄠㄌㄨㄣ"
"程式設計專題","ㄔㄥˊㄕˋㄕㄜˋㄐㄧˋㄓㄨㄢㄊㄧˊ","ㄔㄥㄕㄕㄜㄐㄧㄓㄨㄢㄊㄧ"
"區塊鏈技術","ㄑㄩㄎㄨㄞˋㄌㄧㄢˋㄐㄧˋㄕㄨˋ","ㄑㄩㄎㄨㄞㄌㄧㄢㄐㄧㄕㄨ"
"進階JAVA程式設計與認證","ㄐㄧㄣˋㄐㄧㄝJAVAㄔㄥˊㄕˋㄕㄜˋㄐㄧˋㄩˇㄖㄣˋㄓㄥˋ","ㄐㄧㄣㄐㄧㄝJAVAㄔㄥㄕㄕㄜㄐㄧㄩㄖㄣㄓㄥ"
"商業智慧","ㄕㄤㄧㄝˋㄓˋㄏㄨㄟˋ","ㄕㄤㄧㄝㄓㄏㄨㄟ"
"進階程式設計與認證","ㄐㄧㄣˋㄐㄧㄝㄔㄥˊㄕˋㄕㄜˋㄐㄧˋㄩˇㄖㄣˋㄓㄥˋ","ㄐㄧㄣㄐㄧㄝㄔㄥㄕㄕㄜㄐㄧㄩㄖㄣㄓㄥ"
"網際網路技術","ㄨㄤˇㄐㄧˋㄨㄤˇㄌㄨˋㄐㄧˋㄕㄨˋ","ㄨㄤㄐㄧㄨㄤㄌㄨㄐㄧㄕㄨ"
"模糊系統","ㄇㄛˊㄏㄨㄒㄧˋㄊㄨㄥˇ","ㄇㄛㄏㄨㄒㄧㄊㄨㄥ"
"高等資料探勘","ㄍㄠㄉㄥˇㄗㄌㄧㄠˋㄊㄢˋㄎㄢ","ㄍㄠㄉㄥㄗㄌㄧㄠㄊㄢㄎㄢ"
"感測器原理與應用","ㄍㄢˇㄘㄜˋㄑㄧˋㄩㄢˊㄌㄧˇㄩˇㄧㄥˋㄩㄥˋ","ㄍㄢㄘㄜㄑㄧㄩㄢㄌㄧㄩㄧㄥㄩㄥ"
"程式設計與認證（一）","ㄔㄥˊㄕˋㄕㄜˋㄐㄧˋㄩˇㄖㄣˋㄓㄥˋㄧ","ㄔㄥㄕㄕㄜㄐㄧㄩㄖㄣㄓㄥㄧ"
"機密分享概論","ㄐㄧㄇㄧˋㄈㄣㄒㄧㄤˇㄍㄞˋㄌㄨㄣˋ","ㄐㄧㄇㄧㄈㄣㄒㄧㄤㄍㄞㄌㄨㄣ"
"網路規劃與管理","ㄨㄤˇㄌㄨˋㄍㄨㄟㄏㄨㄚˋㄩˇㄍㄨㄢˇㄌㄧˇ","ㄨㄤㄌㄨㄍㄨㄟㄏㄨㄚㄩㄍㄨㄢㄌㄧ"
"軟體工程導論","ㄖㄨㄢˇㄊㄧˇㄍㄨㄥㄔㄥˊㄉㄠˇㄌㄨㄣˋ","ㄖㄨㄢㄊㄧㄍㄨㄥㄔㄥㄉㄠㄌㄨㄣ"
"創新創意專案開發","ㄔㄨㄤˋㄒㄧㄣㄔㄨㄤˋㄧˋㄓㄨㄢㄢˋㄎㄞㄈㄚ","ㄔㄨㄤㄒㄧㄣㄔㄨㄤㄧㄓㄨㄢㄢㄎㄞㄈㄚ"
"互動電子技術專題","ㄏㄨˋㄉㄨㄥˋㄉㄧㄢˋㄗˇㄐㄧˋㄕㄨˋㄓㄨㄢㄊㄧˊ","ㄏㄨㄉㄨㄥㄉㄧㄢㄗㄐㄧㄕㄨㄓㄨㄢㄊㄧ"
"資訊法律","ㄗㄒㄩㄣˋㄈㄚˇㄌㄩˋ","ㄗㄒㄩㄣㄈㄚㄌㄩ"
"演算法設計專題","ㄧㄢˇㄙㄨㄢˋㄈㄚˇㄕㄜˋㄐㄧˋㄓㄨㄢㄊㄧˊ","ㄧㄢㄙㄨㄢㄈㄚㄕㄜㄐㄧㄓㄨㄢㄊㄧ"
"網頁設計與實務應用","ㄨㄤˇㄧㄝˋㄕㄜˋㄐㄧˋㄩˇㄕˊㄨˋㄧㄥㄩㄥˋ","ㄨㄤㄧㄝㄕㄜㄐㄧㄩㄕㄨㄧㄥㄩㄥ"
"類神經與深度學習進階","ㄌㄟˋㄕㄣˊㄐㄧㄥㄩˇㄕㄣㄉㄨˋㄒㄩㄝˊㄒㄧˊㄐㄧㄣˋㄐㄧㄝ","ㄌㄟㄕㄣㄐㄧㄥㄩㄕㄣㄉㄨㄒㄩㄝㄒㄧㄐㄧㄣㄐㄧㄝ"
"智慧型系統設計","ㄓˋㄏㄨㄟˋㄒㄧㄥˊㄒㄧˋㄊㄨㄥˇㄕㄜˋㄐㄧˋ","ㄓㄏㄨㄟㄒㄧㄥㄒㄧㄊㄨㄥㄕㄜㄐㄧ"
"離散數學","ㄌㄧˊㄙㄢˋㄕㄨˋㄒㄩㄝˊ","ㄌㄧㄙㄢㄕㄨㄒㄩㄝ"
"電子電路學","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄒㄩㄝˊ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄒㄩㄝ"
"軟體工程","ㄖㄨㄢˇㄊㄧˇㄍㄨㄥㄔㄥˊ","ㄖㄨㄢㄊㄧㄍㄨㄥㄔㄥ"
"數位邏輯實驗","ㄕㄨˋㄨㄟˋㄌㄨㄛˊㄐㄧˊㄕˊㄧㄢˋ","ㄕㄨㄨㄟㄌㄨㄛㄐㄧㄕㄧㄢ"
"人工智慧概論","ㄖㄣˊㄍㄨㄥㄓˋㄏㄨㄟˋㄍㄞˋㄌㄨㄣˋ","ㄖㄣㄍㄨㄥㄓㄏㄨㄟㄍㄞㄌㄨㄣ"
"演算法分析與設計","ㄧㄢˇㄙㄨㄢˋㄈㄚˇㄈㄣㄒㄧㄩˇㄕㄜˋㄐㄧˋ","ㄧㄢㄙㄨㄢㄈㄚㄈㄣㄒㄧㄩㄕㄜㄐㄧ"
"資料庫系統","ㄗㄌㄧㄠˋㄎㄨˋㄒㄧˋㄊㄨㄥˇ","ㄗㄌㄧㄠㄎㄨㄒㄧㄊㄨㄥ"
"資訊應用（二）","ㄗㄒㄩㄣˋㄧㄥˋㄩㄥˋㄦˋ","ㄗㄒㄩㄣㄧㄥㄩㄥㄦ"
"人工智慧導論","ㄖㄣˊㄍㄨㄥㄓˋㄏㄨㄟˋㄉㄠˇㄌㄨㄣˋ","ㄖㄣㄍㄨㄥㄓㄏㄨㄟㄉㄠㄌㄨㄣ"
"人機介面設計","ㄖㄣˊㄐㄧㄐㄧㄝˋㄇㄧㄢˋㄕㄜˋㄐㄧˋ","ㄖㄣㄐㄧㄐㄧㄝㄇㄧㄢㄕㄜㄐㄧ"
"媒體實務","ㄇㄟˊㄊㄧˇㄕˊㄨˋ","ㄇㄟㄊㄧㄕㄨ"
"態度說服與影響","ㄊㄞˋㄉㄨˋㄕㄨㄟˋㄈㄨˊㄩˇㄧㄥˇㄒㄧㄤˇ","ㄊㄞㄉㄨㄕㄨㄟㄈㄨㄩㄧㄥㄒㄧㄤ"
"物聯網實務應用","ㄨˋㄌㄧㄢˊㄨㄤˇㄕˊㄨˋㄧㄥˋㄩㄥˋ","ㄨㄌㄧㄢㄨㄤㄕㄨㄧㄥㄩㄥ"
"數位媒體傳播工程","ㄕㄨˋㄨㄟˋㄇㄟˊㄊㄧˇㄔㄨㄢˊㄅㄛㄍㄨㄥㄔㄥˊ","ㄕㄨㄨㄟㄇㄟㄊㄧㄔㄨㄢㄅㄛㄍㄨㄥㄔㄥ"
"網路通訊程式設計","ㄨㄤˇㄌㄨˋㄊㄨㄥㄒㄩㄣˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄨㄤㄌㄨㄊㄨㄥㄒㄩㄣㄔㄥㄕㄕㄜㄐㄧ"
"數位媒體專題","ㄕㄨˋㄨㄟˋㄇㄟˊㄊㄧˇㄓㄨㄢㄊㄧˊ","ㄕㄨㄨㄟㄇㄟㄊㄧㄓㄨㄢㄊㄧ"
"網路程式開發","ㄨㄤˇㄌㄨˋㄔㄥˊㄕˋㄎㄞㄈㄚ","ㄨㄤㄌㄨㄔㄥㄕㄎㄞㄈㄚ"
"高等人工智慧","ㄍㄠㄉㄥˇㄖㄣˊㄍㄨㄥㄓˋㄏㄨㄟˋ","ㄍㄠㄉㄥㄖㄣㄍㄨㄥㄓㄏㄨㄟ"
"進階資訊數學","ㄐㄧㄣˋㄐㄧㄝㄗㄒㄩㄣˋㄕㄨˋㄒㄩㄝˊ","ㄐㄧㄣㄐㄧㄝㄗㄒㄩㄣㄕㄨㄒㄩㄝ"
"遊戲程式設計","ㄧㄡˊㄒㄧˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄧㄡㄒㄧㄔㄥㄕㄕㄜㄐㄧ"
"互動技術概論","ㄏㄨˋㄉㄨㄥˋㄐㄧˋㄕㄨˋㄍㄞˋㄌㄨㄣˋ","ㄏㄨㄉㄨㄥㄐㄧㄕㄨㄍㄞㄌㄨㄣ"
"3D動畫設計","3Dㄉㄨㄥˋㄏㄨㄚˋㄕㄜˋㄐㄧˋ","3Dㄉㄨㄥㄏㄨㄚㄕㄜㄐㄧ"
"物聯網導論","ㄨˋㄌㄧㄢˊㄨㄤˇㄉㄠˇㄌㄨㄣˋ","ㄨㄌㄧㄢㄨㄤㄉㄠㄌㄨㄣ"
"區域網路","ㄑㄩㄩˋㄨㄤˇㄌㄨˋ","ㄑㄩㄩㄨㄤㄌㄨ"
"手機互動程式設計","ㄕㄡˇㄐㄧㄏㄨˋㄉㄨㄥˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄕㄡㄐㄧㄏㄨㄉㄨㄥㄔㄥㄕㄕㄜㄐㄧ"
"無線網路技術","ㄨˊㄒㄧㄢˋㄨㄤˇㄌㄨˋㄐㄧˋㄕㄨˋ","ㄨㄒㄧㄢㄨㄤㄌㄨㄐㄧㄕㄨ"
"串媒體（跨媒體）節目製播","ㄔㄨㄢˋㄇㄟˊㄊㄧˇㄎㄨㄚˋㄇㄟˊㄊㄧˇㄐㄧㄝˊㄇㄨˋㄓˋㄅㄛ","ㄔㄨㄢㄇㄟㄊㄧㄎㄨㄚㄇㄟㄊㄧㄐㄧㄝㄇㄨㄓㄅㄛ"
"多媒體編碼壓縮","ㄉㄨㄛㄇㄟˊㄊㄧˇㄅㄧㄢㄇㄚˇㄧㄚㄙㄨㄛ","ㄉㄨㄛㄇㄟㄊㄧㄅㄧㄢㄇㄚㄧㄚㄙㄨㄛ"
"網路傳播專題","ㄨㄤˇㄌㄨˋㄔㄨㄢˊㄅㄛㄓㄨㄢㄊㄧˊ","ㄨㄤㄌㄨㄔㄨㄢㄅㄛㄓㄨㄢㄊㄧ"
"行動與無線通訊","ㄒㄧㄥˊㄉㄨㄥˋㄩˇㄨˊㄒㄧㄢˋㄊㄨㄥㄒㄩㄣˋ","ㄒㄧㄥㄉㄨㄥㄩㄨㄒㄧㄢㄊㄨㄥㄒㄩㄣ"
"數位內容概論","ㄕㄨˋㄨㄟˋㄋㄟˋㄖㄨㄥˊㄍㄞˋㄌㄨㄣˋ","ㄕㄨㄨㄟㄋㄟㄖㄨㄥㄍㄞㄌㄨㄣ"
"數位系統導論","ㄕㄨˋㄨㄟˋㄒㄧˋㄊㄨㄥˇㄉㄠˇㄌㄨㄣˋ","ㄕㄨㄨㄟㄒㄧㄊㄨㄥㄉㄠㄌㄨㄣ"
"技術寫作","ㄐㄧˋㄕㄨˋㄒㄧㄝˇㄗㄨㄛˋ","ㄐㄧㄕㄨㄒㄧㄝㄗㄨㄛ"
"電腦圖學","ㄉㄧㄢˋㄋㄠˇㄊㄨˊㄒㄩㄝˊ","ㄉㄧㄢㄋㄠㄊㄨㄒㄩㄝ"
"進階程式設計","ㄐㄧㄣˋㄐㄧㄝㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","ㄐㄧㄣㄐㄧㄝㄔㄥㄕㄕㄜㄐㄧ"
"3D設計與實務","3Dㄕㄜˋㄐㄧˋㄩˇㄕˊㄨˋ","3Dㄕㄜㄐㄧㄩㄕㄨ"
"多媒體通訊概論","ㄉㄨㄛㄇㄟˊㄊㄧˇㄊㄨㄥㄒㄩㄣˋㄍㄞˋㄌㄨㄣˋ","ㄉㄨㄛㄇㄟㄊㄧㄊㄨㄥㄒㄩㄣㄍㄞㄌㄨㄣ"
"傳播概論","ㄔㄨㄢˊㄅㄛㄍㄞˋㄌㄨㄣˋ","ㄔㄨㄢㄅㄛㄍㄞㄌㄨㄣ"
"資料庫管理系統","ㄗㄌㄧㄠˋㄎㄨˋㄍㄨㄢˇㄌㄧˇㄒㄧˋㄊㄨㄥˇ","ㄗㄌㄧㄠㄎㄨㄍㄨㄢㄌㄧㄒㄧㄊㄨㄥ"
"資料結構實務","ㄗㄌㄧㄠˋㄐㄧㄝˊㄍㄡˋㄕˊㄨˋ","ㄗㄌㄧㄠㄐㄧㄝㄍㄡㄕㄨ"
"資訊講座","ㄗㄒㄩㄣˋㄐㄧㄤˇㄗㄨㄛˋ","ㄗㄒㄩㄣㄐㄧㄤㄗㄨㄛ"
